Date,Value
2020-01-01,0.4967141530112327
2020-01-02,0.358449851840048
2020-01-03,1.0061383899407406
2020-01-04,2.5291682463487657
2020-01-05,2.2950148716254297
2020-01-06,2.060877914676249
2020-01-07,3.6400907301836405
2020-01-08,4.407525459336549
2020-01-09,3.938051073401597
2020-01-10,4.4806111169875615
2020-01-11,4.017193424175099
2020-01-12,3.5514636706048424
2020-01-13,3.7934259421708765
2020-01-14,1.8801456975130786
2020-01-15,0.15522786500004582
2020-01-16,-0.4070596642409269
2020-01-17,-1.4198907845753506
2020-01-18,-1.1056434519800766
2020-01-19,-2.0136675275012874
2020-01-20,-3.4259712288365787
2020-01-21,-1.9603224599150246
2020-01-22,-2.1860987604015603
2020-01-23,-2.1185705557136365
2020-01-24,-3.5433187419270933
2020-01-25,-4.087701466452276
2020-01-26,-3.9767788767424097
2020-01-27,-5.127772454164712
2020-01-28,-4.75207443581904
2020-01-29,-5.352713125737845
2020-01-30,-5.644406875531121
2020-01-31,-6.2461134877605184
2020-02-01,-4.3938353032515804
2020-02-02,-4.407332527989515
2020-02-03,-5.4650434569454145
2020-02-04,-4.642498544842225
2020-02-05,-5.863342194813248
2020-02-06,-5.654478599808492
2020-02-07,-7.614148723688268
2020-02-08,-8.942334772586698
2020-02-09,-8.745473536717574
2020-02-10,-8.007006956722163
2020-02-11,-7.835638675532193
2020-02-12,-7.951286957920433
2020-02-13,-8.252390653509723
2020-02-14,-9.73091264387715
2020-02-15,-10.450756852271859
2020-02-16,-10.911395623231646
2020-02-17,-9.854273397012731
2020-02-18,-9.51065510744427
2020-02-19,-11.273695262807005
2020-02-20,-10.94961129341221
2020-02-21,-11.334693573828526
2020-02-22,-12.011615574134485
2020-02-23,-11.399939285293616
2020-02-24,-10.368939762797666
2020-02-25,-9.437659643681467
2020-02-26,-10.276877166904105
2020-02-27,-10.58608954275532
2020-02-28,-10.254826111351756
2020-02-29,-9.279280984229397
2020-03-01,-9.758455222074687
2020-03-02,-9.944114198738504
2020-03-03,-11.050449172744532
2020-03-04,-12.246655796825202
2020-03-05,-11.434129974431004
2020-03-06,-10.07788994586018
2020-03-07,-10.149900067440514
2020-03-08,-9.14636716954849
2020-03-09,-8.784731144500856
2020-03-10,-9.42985089910598
2020-03-11,-9.068455293597568
2020-03-12,-7.5304187271315985
2020-03-13,-7.56624476624155
2020-03-14,-6.001601110427544
2020-03-15,-8.621346214517288
2020-03-16,-7.799443710142064
2020-03-17,-7.712396641903893
2020-03-18,-8.011403992369761
2020-03-19,-7.919643215834259
2020-03-20,-9.907212130435152
2020-03-21,-10.126884018272664
2020-03-22,-9.769771446760917
2020-03-23,-8.2918774020194
2020-03-24,-8.810147620293048
2020-03-25,-9.618641223186236
2020-03-26,-10.120398266770772
2020-03-27,-9.204996149068698
2020-03-28,-8.876245039409014
2020-03-29,-9.406005243176052
2020-03-30,-8.892737810062696
2020-03-31,-8.795660260714657
2020-04-01,-7.827015270181768
2020-04-02,-8.529068364059121
2020-04-03,-8.85673051065689
2020-04-04,-9.248838663789048
2020-04-05,-10.712353611921166
2020-04-06,-10.41623333485659
2020-04-07,-10.1551780626767
2020-04-08,-10.15006460603424
2020-04-09,-10.384651739409387
2020-04-10,-11.800022481459802
2020-04-11,-12.220667804225162
2020-04-12,-12.56338232075193
2020-04-13,-13.36565958997355
2020-04-14,-13.526945301639559
2020-04-15,-13.12289444482502
2020-04-16,-11.23670854361449
2020-04-17,-11.062130730782652
2020-04-18,-10.804580340059887
2020-04-19,-10.879026255826055
2020-04-20,-12.797797471125097
2020-04-21,-12.824311346574314
2020-04-22,-12.764081136633287
2020-04-23,-10.300839024148
2020-04-24,-10.493199988929124
2020-04-25,-10.19165264659551
2020-04-26,-10.226364416300754
2020-04-27,-11.395042453920286
2020-04-28,-10.252219639405265
2020-04-29,-9.500286606718491
2020-04-30,-8.709254659675445
2020-05-01,-9.618642114470184
2020-05-02,-8.215847803534086
2020-05-03,-9.617698866326366
2020-05-04,-9.030841772526095
2020-05-05,-6.840386146716117
2020-05-06,-7.830922471846805
2020-05-07,-8.397220201449578
2020-05-08,-8.297568836361936
2020-05-09,-8.801044490478136
2020-05-10,-10.351707921544268
2020-05-11,-10.28314494673824
2020-05-12,-11.345448660464346
2020-05-13,-10.871856229829165
2020-05-14,-11.791280464062968
2020-05-15,-10.241346059045428
2020-05-16,-11.024599351381665
2020-05-17,-11.34666086758734
2020-05-18,-10.53314365021767
2020-05-19,-11.764007966651626
2020-05-20,-11.536548032047497
2020-05-21,-10.22940527776507
2020-05-22,-11.836888512326297
2020-05-23,-11.652254653793992
2020-05-24,-11.39237185954557
2020-05-25,-10.61054898776826
2020-05-26,-11.847499698646342
2020-05-27,-13.167956311730618
2020-05-28,-12.646014746113721
2020-05-29,-12.349030072880534
2020-05-30,-12.098537222534658
2020-05-31,-11.752089013037683
2020-06-01,-12.432113734616173
2020-06-02,-12.19986003745517
2020-06-03,-11.90678756415649
2020-06-04,-12.621138982182858
2020-06-05,-10.755364471038101
2020-06-06,-10.281531550126314
2020-06-07,-11.472835047328962
2020-06-08,-10.816281438695132
2020-06-09,-11.790963108922453
2020-06-10,-11.003878505180001
2020-06-11,-9.845282926172597
2020-06-12,-10.665965244524308
2020-06-13,-9.702589115279986
2020-06-14,-9.289808188343487
2020-06-15,-8.467748028348998
2020-06-16,-6.570955045695051
2020-06-17,-6.8163431616979215
2020-06-18,-7.570079326055411
2020-06-19,-8.459593755680935
2020-06-20,-9.275404040646373
2020-06-21,-9.352505750060477
2020-06-22,-9.011353775243833
2020-06-23,-8.734662975913814
2020-06-24,-7.90747972687779
2020-06-25,-7.894477834999884
2020-06-26,-6.440943757842566
2020-06-27,-6.705600591080523
2020-06-28,-3.985431424490904
2020-06-29,-3.359764076725898
2020-06-30,-4.216921633142181
2020-07-01,-5.287814131203293
2020-07-02,-4.8053417159601075
2020-07-03,-5.028804501285959
2020-07-04,-4.3148040071938665
2020-07-05,-3.8415663826203215
2020-07-06,-3.914395295277194
2020-07-07,-4.761189013345599
2020-07-08,-6.276036238031464
2020-07-09,-6.722551190098486
2020-07-10,-5.866152395775013
2020-07-11,-5.6520586516448095
2020-07-12,-6.897797430356798
2020-07-13,-6.724616504505616
2020-07-14,-6.33929912477678
2020-07-15,-7.2231565609779125
2020-07-16,-7.069431455032385
2020-07-17,-7.011222736586385
2020-07-18,-8.154193034417007
2020-07-19,-7.796405674068724
2020-07-20,-7.23562114770049
2020-07-21,-6.152569904525214
2020-07-22,-5.098767852490311
2020-07-23,-6.476437220447401
2020-07-24,-7.414262260362524
2020-07-25,-6.899226993153865
2020-07-26,-6.385441042241656
2020-07-27,-5.870393355935608
2020-07-28,-2.017661865280887
2020-07-29,-1.4467713545877199
2020-07-30,-0.31120571440712097
2020-07-31,0.6427960490860813
2020-08-01,1.2941873003918793
2020-08-02,0.9789180557515338
2020-08-03,1.7378872762448012
2020-08-04,0.9650620617072294
2020-08-05,0.7282434549672205
2020-08-06,0.24287990713811708
2020-08-07,0.3247540465244396
2020-08-08,2.6394126131979485
2020-08-09,0.7721474206062005
2020-08-10,1.4584076109807138
2020-08-11,-0.15430826020893784
2020-08-12,-0.6262401259983713
2020-08-13,0.46271047096899476
2020-08-14,0.5269904900644575
2020-08-15,-0.5507542878648486
2020-08-16,-1.266057997124817
2020-08-17,-0.5864602481901411
2020-08-18,-1.3168268799072778
2020-08-19,-1.100368290325303
2020-08-20,-1.054796450421489
2020-08-21,-1.7063967980273063
2020-08-22,0.4375472912980194
2020-08-23,1.0714663136160305
2020-08-24,-0.9536762730415766
2020-08-25,-0.767221958272149
2020-08-26,-1.4290084230405369
2020-08-27,-0.5765750882443129
2020-08-28,-1.3690958266770137
2020-08-29,-1.4838322681439127
2020-08-30,-0.9788449891634555
2020-08-31,-0.11308979499333405
2020-09-01,-1.3133862020491103
2020-09-02,-1.6478874378900588
2020-09-03,-2.122832749051015
2020-09-04,-2.7761619816247265
2020-09-05,-1.0107077413436296
2020-09-06,-0.6057260303826741
2020-09-07,-1.8666099847177193
2020-09-08,-0.9487480376629432
2020-09-09,1.1734081593496901
2020-09-10,2.205873419900837
2020-09-11,0.6865034539468238
2020-09-12,0.2022693810805724
2020-09-13,1.4691805302671952
2020-09-14,0.7615110646484144
2020-09-15,1.2053304927946429
2020-09-16,1.9799645462239797
2020-09-17,1.0530340746458968
2020-09-18,0.9935087185840967
2020-09-19,-2.2477586214849756
2020-09-20,-3.2721462628192652
2020-09-21,-3.5247144142124256
2020-09-22,-4.772497596177275
2020-09-23,-3.14008629224564
2020-09-24,-4.570227670206273
2020-09-25,-5.010272156903256
2020-09-26,-4.879531579617165
2020-09-27,-3.4382582905510493
2020-09-28,-4.874120441730488
2020-09-29,-3.7109566895755286
2020-09-30,-3.7007236285559415
2020-10-01,-4.682232279603893
2020-10-02,-4.2201288053406225
2020-10-03,-4.0210691097671525
2020-10-04,-4.6212859869259475
2020-10-05,-4.551483901935929
2020-10-06,-4.936797498797689
2020-10-07,-4.823280153546441
2020-10-08,-4.1611494790253944
2020-10-09,-2.5751326628800424
